1: [0, 0]
2: [0, 0]
3: [0, 0]
4: [0, 0]
5: [0, 0]
6: [0, 0]
7: [0, 0]
8: [0, 0]
9: [0, 0]
10: [0, 0]
11: [0, 0]
12: [0, 0]
13: [0, 0]
14: [0, 0]
15: [0, 0]
16: [0, 0]
17: [0, 0]
18: [0, 0]
19: [0, 0]
20: [0, 0]
21: [0, 0]
22: [0, 0]
23: [0, 0]
24: [0, 0]
25: [0, 0]
26: [0, 0]
27: [0, 0]
28: [0, 0]
29: [0, 0]
30: [0, 0]
31: [0, 0]
32: [0, 0]
33: [0, 0]
34: [0, 0]
35: [0, 0]
36: [0, 0]
37: [0, 0]
38: [0, 0]
39: [0, 0]
40: [0, 0]
41: [0, 0]
42: [0, 0]
43: [0, 0]
44: [0, 0]
45: [0, 0]
46: [0, 0]
47: [0, 0]
48: [0, 0]
49: [0, 0]
50: [0, 0]
51: [0, 0]
52: [0, 0]
53: [0, 0]
54: [0, 0]
55: [0, 0]
56: [0, 0]
57: [0, 0]
58: [0, 0]
59: [0, 0]
60: [0, 0]
61: [0, 0]
62: [0, 0]
63: [0, 0]
64: [0, 0]
65: [0, 0]
66: [0, 0]
67: [0, 0]
68: [0, 0]
69: [0, 0]
70: [1, 1.6061250121846111]
71: [1, 3.896976066413454]
72: [1, 6.233244084751823]
73: [1, 7.996267064433671]
74: [1, 10.353127799304167]
75: [1, 12.71251601458131]
76: [1, 15.071070304433414]
77: [1, 16.83760453886638]
78: [1, 19.187147780325233]
79: [1, 21.52646822552079]
80: [1, 23.848976446252497]
81: [1, 25.569993243149845]
82: [1, 27.823913653474143]
83: [1, 30.02037629375118]
84: [1, 32.15981229970368]
85: [1, 33.70044884031282]
86: [1, 35.706134574346954]
87: [1, 37.77716510633707]
88: [1, 39.776529744964186]
89: [1, 41.22368554556889]
90: [1, 43.07674662973909]
91: [1, 44.835599517763676]
92: [1, 46.246268849504894]
93: [1, 46.652526303698416]
94: [1, 47.04740843072323]
95: [1, 47.34638400563855]
96: [1, 47.58136980602994]
97: [1, 47.76672890680105]
98: [1, 48.141002683954206]
99: [1, 48.654030723543165]
100: [1, 49.84887083407454]
101: [1, 50.83887066451002]
102: [1, 52.06305547847077]
103: [1, 53.17956835560084]
104: [1, 54.191736178305206]
105: [0, 0]
106: [0, 0]
107: [0, 0]
108: [0, 0]
109: [0, 0]
110: [0, 0]
111: [0, 0]
112: [0, 0]
113: [0, 0]
114: [0, 0]
115: [0, 0]
116: [0, 0]
117: [0, 0]
118: [0, 0]
119: [0, 0]
120: [0, 0]
121: [0, 0]
122: [0, 0]
123: [0, 0]
124: [0, 0]
125: [0, 0]
126: [0, 0]
127: [0, 0]
128: [0, 0]
129: [0, 0]
130: [0, 0]
131: [0, 0]
132: [0, 0]
133: [0, 0]
134: [0, 0]
