1: [6, 3.5245270161513793]
2: [6, 8.21959267665043]
3: [6, 12.897770421583886]
4: [6, 17.5289576305336]
5: [9, 14.564376697806692]
6: [9, 19.018217650606502]
7: [10, 21.206916162394485]
8: [10, 25.281199178321003]
9: [11, 25.626806596183478]
10: [11, 29.016497097150836]
11: [13, 26.815793493374414]
12: [13, 27.610789163124384]
13: [13, 28.559172040733632]
14: [14, 27.232740922198577]
15: [16, 24.221739254333805]
16: [17, 23.215481681613994]
17: [17, 23.507169679822148]
18: [17, 23.39748099981379]
19: [17, 22.89279125921426]
20: [17, 22.54517720552995]
21: [18, 21.594319518766856]
22: [18, 21.872562950711682]
23: [18, 22.001806500628064]
24: [20, 20.069496766548905]
25: [21, 19.418969272457627]
26: [22, 19.048963651920793]
27: [22, 19.600758577849323]
28: [22, 20.021016421566017]
29: [22, 20.268315453039516]
30: [23, 19.677202993361487]
31: [25, 18.564311131213927]
32: [25, 19.179899958932232]
33: [26, 18.897263554682606]
34: [27, 18.865924871519102]
35: [27, 19.676285567380233]
36: [28, 19.848622773142885]
37: [29, 18.096755456774524]
38: [30, 18.550290063355458]
39: [30, 19.590151745957286]
40: [30, 19.34622937782292]
41: [30, 20.34894679209504]
42: [29, 20.796818819106193]
43: [29, 20.230244881189773]
44: [30, 20.82675143181389]
45: [30, 21.664207089386725]
46: [31, 21.98789562694684]
47: [32, 22.427988488540077]
48: [35, 21.81594339055501]
49: [35, 22.880445165955003]
50: [34, 23.910022896985804]
51: [36, 23.8957679770918]
52: [37, 24.544735053129873]
53: [36, 25.16513844737757]
54: [36, 25.373684050579488]
55: [37, 25.97840283850424]
56: [38, 26.40929821570785]
57: [37, 26.826082082033746]
58: [38, 27.070879847662795]
59: [40, 26.6094582196987]
60: [38, 26.68323183995137]
61: [38, 27.301415977949652]
62: [38, 26.92311087887552]
63: [40, 26.404985778333437]
64: [39, 25.802472115404534]
65: [39, 26.59974760409636]
66: [38, 26.033545056976504]
67: [37, 26.534755347925195]
68: [40, 25.419672714437766]
69: [39, 25.570705480351215]
70: [38, 25.960117134531476]
71: [37, 26.507968968242114]
72: [37, 27.313473503680264]
73: [38, 27.167891259495477]
74: [37, 25.6093777888005]
75: [37, 25.36080188341193]
76: [38, 25.416258290297737]
77: [40, 24.714939787569968]
78: [40, 24.619410946608642]
79: [40, 25.48841567383146]
80: [40, 26.303571871538935]
81: [39, 26.442383379703777]
82: [40, 25.181374968447532]
83: [39, 25.861057275077474]
84: [38, 25.6866437684471]
85: [39, 25.837232291741326]
86: [37, 24.772063833876224]
87: [38, 24.974280565665726]
88: [39, 25.17147386164885]
89: [38, 24.484002155596055]
90: [39, 24.758512741303146]
91: [41, 24.45620546814324]
92: [39, 24.75274893482277]
93: [39, 25.53008203079857]
94: [38, 26.071743098492554]
95: [37, 26.793873163441347]
96: [38, 26.180201841331364]
97: [38, 25.879203780462973]
98: [37, 25.11314947400375]
99: [36, 25.463764764812442]
100: [37, 23.918480504155514]
101: [38, 22.42842586927425]
102: [38, 21.26668318587118]
103: [39, 20.658768794824393]
104: [38, 19.916438802485334]
105: [39, 19.249781116962847]
106: [39, 19.099230695492224]
107: [39, 17.90755411067596]
108: [41, 17.009498963240993]
109: [41, 17.009252272516274]
110: [41, 16.136089391313355]
111: [40, 15.44438042240904]
112: [40, 14.262683060590748]
113: [41, 13.892101764958873]
114: [42, 12.565720351795969]
115: [41, 11.885522116169337]
116: [40, 11.7126517226341]
117: [42, 11.174844275160028]
118: [42, 10.69826444093679]
119: [42, 11.33254501688346]
120: [41, 11.294489928971572]
121: [41, 11.711384909666405]
122: [43, 11.786895279647132]
123: [43, 11.755032293562566]
124: [44, 12.287681070287483]
125: [43, 12.2935756041758]
126: [44, 12.744543784519824]
127: [45, 13.147790327866739]
128: [44, 13.034896542377856]
129: [44, 13.34182090516809]
130: [46, 13.092863516421767]
131: [46, 13.404394759626783]
132: [46, 13.592461705360313]
133: [47, 13.386121693710926]
134: [48, 13.160398564839417]
135: [47, 10.720440679446734]
136: [46, 9.755304882400312]
137: [47, 9.522112210103028]
138: [48, 9.298480079447495]
139: [49, 7.906025488587957]
140: [50, 7.928572499693341]
141: [51, 8.196962837260154]
142: [50, 7.984279032823951]
143: [50, 7.562506694524835]
144: [50, 8.058127470938404]
145: [51, 7.614245627176621]
146: [51, 8.392938620914679]
147: [52, 8.944531404120315]
148: [52, 9.489241115664887]
149: [54, 9.80305530419709]
150: [53, 9.893335357784874]
151: [55, 10.013169065269667]
152: [55, 10.41076995313628]
153: [55, 10.830343244033596]
154: [55, 11.15915591538508]
155: [56, 11.252472498087586]
156: [57, 11.266838638321923]
157: [57, 11.472173105876868]
158: [57, 11.577611880516098]
159: [57, 10.762345302555913]
160: [58, 10.73677714985924]
161: [58, 11.166454109994406]
162: [58, 11.679368255423178]
163: [57, 10.912453277856242]
164: [59, 11.178895076667295]
165: [58, 11.484077807124386]
166: [58, 11.544878028735102]
167: [59, 12.261193590268842]
168: [59, 12.985725958350983]
169: [58, 13.37301810881783]
170: [60, 13.893979154279137]
171: [60, 13.984784498207315]
172: [61, 14.47248770997234]
173: [61, 15.415261956494007]
174: [63, 15.778327608027748]
175: [63, 16.601764376895787]
176: [63, 16.53242759450853]
177: [64, 17.06469178768742]
178: [64, 17.78729281180714]
179: [63, 17.828345573598174]
180: [64, 17.862534351142813]
181: [65, 17.815924778884586]
182: [65, 17.936903062976057]
183: [63, 18.273365596136642]
184: [64, 18.60034374845301]
185: [65, 18.41494696510507]
186: [63, 18.54154599229699]
187: [64, 18.6699570274745]
188: [64, 19.31583982153215]
189: [64, 20.21664141758167]
190: [61, 20.18378112331515]
191: [61, 21.099730253915258]
192: [61, 20.937532683358622]
193: [61, 20.83474058776676]
194: [62, 20.98860977828632]
195: [61, 21.64442379274336]
196: [61, 21.50561143506302]
197: [59, 21.753687828680302]
198: [62, 21.56468816570088]
199: [60, 21.621626898441132]
200: [59, 21.335594022301734]
201: [59, 22.084074890984756]
202: [59, 21.951038684213717]
203: [58, 21.907603549413054]
204: [58, 22.246486004435628]
205: [57, 22.614540954851783]
206: [55, 22.28884218608701]
207: [56, 22.877717683512024]
208: [56, 22.73372955117946]
209: [54, 22.034666110093923]
210: [53, 22.610849601832474]
211: [53, 22.578623629270304]
212: [53, 23.052132630925957]
213: [52, 22.574105757873237]
214: [54, 22.43537805791651]
215: [52, 22.573331340236944]
216: [50, 22.54239372158597]
217: [50, 22.43123256706605]
218: [50, 21.681833536921037]
219: [51, 22.086497770347005]
220: [51, 22.563727642067402]
221: [48, 21.456190389715033]
222: [50, 20.839892645918123]
223: [48, 19.815091554171094]
224: [49, 19.43196555278235]
225: [48, 18.976159487712824]
226: [49, 18.51842922566598]
227: [48, 17.655934010304087]
228: [49, 17.09154641378447]
229: [49, 15.576749692070099]
230: [49, 14.586185517101484]
231: [47, 13.332180754247583]
232: [47, 13.171879135577306]
233: [46, 12.163301651214566]
234: [45, 10.13194152927951]
235: [46, 8.411064076344317]
236: [47, 8.160233084945533]
237: [47, 8.163479673485499]
238: [45, 6.416628727874033]
239: [46, 6.555709948551026]
240: [46, 6.901048098807234]
241: [47, 6.310020674273606]
242: [47, 6.869066614745902]
243: [48, 7.224762339014308]
244: [49, 7.496240546053713]
245: [49, 7.987269456959013]
246: [51, 8.03498969297645]
247: [52, 8.260026260232182]
248: [52, 8.567371901437959]
249: [54, 8.66245013750556]
250: [54, 9.024917338930209]
